objectid,shape_id,route_id,route_short_name,route_long_name,route_type,agency_id,route_desc,route_url,route_color,route_text_color,route_type_text,routeshapename,route_color_rgb,route_text_color_rgb,shape_Length
668,S2_854_0_49,854,854,Grossmont Transit Ctr -- Grossmont College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=854,000099,FFFFFF,Bus,S2_854_0_49_854,"(0, 0, 153)","(255, 255, 255)",15760.669656516154646
669,S2_854_0_51,854,854,Grossmont Transit Ctr -- Grossmont College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=854,000099,FFFFFF,Bus,S2_854_0_51_854,"(0, 0, 153)","(255, 255, 255)",29397.513199519340560
670,S2_854_1_50,854,854,Grossmont Transit Ctr -- Grossmont College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=854,000099,FFFFFF,Bus,S2_854_1_50_854,"(0, 0, 153)","(255, 255, 255)",17105.842470658702950
671,S2_854_1_52,854,854,Grossmont Transit Ctr -- Grossmont College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=854,000099,FFFFFF,Bus,S2_854_1_52_854,"(0, 0, 153)","(255, 255, 255)",26513.895958845358109
672,S2_855_0_26,855,855,Rancho San Diego - La Mesa,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=855,000099,FFFFFF,Bus,S2_855_0_26_855,"(0, 0, 153)","(255, 255, 255)",26460.525833864365268
673,S2_855_1_27,855,855,Rancho San Diego - La Mesa,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=855,000099,FFFFFF,Bus,S2_855_1_27_855,"(0, 0, 153)","(255, 255, 255)",23678.617547982899850
674,S2_856_0_126,856,856,SDSU - Cuyamaca College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=856,000099,FFFFFF,Bus,S2_856_0_126_856,"(0, 0, 153)","(255, 255, 255)",59006.348173666548973
675,S2_856_0_131,856,856,SDSU - Cuyamaca College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=856,000099,FFFFFF,Bus,S2_856_0_131_856,"(0, 0, 153)","(255, 255, 255)",70138.647122809328721
676,S2_856_0_132,856,856,SDSU - Cuyamaca College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=856,000099,FFFFFF,Bus,S2_856_0_132_856,"(0, 0, 153)","(255, 255, 255)",60097.278612847338081
677,S2_856_1_128,856,856,SDSU - Cuyamaca College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=856,000099,FFFFFF,Bus,S2_856_1_128_856,"(0, 0, 153)","(255, 255, 255)",47367.039458047816879
678,S2_856_1_129,856,856,SDSU - Cuyamaca College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=856,000099,FFFFFF,Bus,S2_856_1_129_856,"(0, 0, 153)","(255, 255, 255)",58175.560185605761944
679,S2_856_1_133,856,856,SDSU - Cuyamaca College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=856,000099,FFFFFF,Bus,S2_856_1_133_856,"(0, 0, 153)","(255, 255, 255)",69954.738245002314216
680,S2_856_1_134,856,856,SDSU - Cuyamaca College,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=856,000099,FFFFFF,Bus,S2_856_1_134_856,"(0, 0, 153)","(255, 255, 255)",59146.217517444354598
681,S2_864_2_177,864,864,El Cajon - East County Sq,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=864,000099,FFFFFF,Bus,S2_864_2_177_864,"(0, 0, 153)","(255, 255, 255)",35867.121151580126025
682,S2_864_3_176,864,864,El Cajon - East County Sq,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=864,000099,FFFFFF,Bus,S2_864_3_176_864,"(0, 0, 153)","(255, 255, 255)",36491.224894420469354
683,S2_864_3_178,864,864,El Cajon - East County Sq,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=864,000099,FFFFFF,Bus,S2_864_3_178_864,"(0, 0, 153)","(255, 255, 255)",23362.970764520614466
684,S2_872_9_22,872,872,El Cajon Shuttle Loop Counterclockwise,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=872,000099,FFFFFF,Bus,S2_872_9_22_872,"(0, 0, 153)","(255, 255, 255)",18263.637592750812473
685,S2_874_8_76,874,874,El Cajon Eastside Shuttle Clockwise,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=874,000099,FFFFFF,Bus,S2_874_8_76_874,"(0, 0, 153)","(255, 255, 255)",51611.035609197599115
686,S2_874_8_77,874,874,El Cajon Eastside Shuttle Clockwise,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=874,000099,FFFFFF,Bus,S2_874_8_77_874,"(0, 0, 153)","(255, 255, 255)",37203.104312079660303
687,S2_874_8_78,874,874,El Cajon Eastside Shuttle Clockwise,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=874,000099,FFFFFF,Bus,S2_874_8_78_874,"(0, 0, 153)","(255, 255, 255)",18525.358804206294735
688,S2_874_8_79,874,874,El Cajon Eastside Shuttle Clockwise,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=874,000099,FFFFFF,Bus,S2_874_8_79_874,"(0, 0, 153)","(255, 255, 255)",25932.936952928110259
689,S2_874_8_80,874,874,El Cajon Eastside Shuttle Clockwise,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=874,000099,FFFFFF,Bus,S2_874_8_80_874,"(0, 0, 153)","(255, 255, 255)",25678.098656269503408
690,S2_875_9_36,875,875,El Cajon Eastside Shuttle Counterclockwise,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=875,000099,FFFFFF,Bus,S2_875_9_36_875,"(0, 0, 153)","(255, 255, 255)",21923.917226706405927
691,S2_875_9_37,875,875,El Cajon Eastside Shuttle Counterclockwise,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=875,000099,FFFFFF,Bus,S2_875_9_37_875,"(0, 0, 153)","(255, 255, 255)",48023.748145966899756
692,S2_875_9_40,875,875,El Cajon Eastside Shuttle Counterclockwise,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=875,000099,FFFFFF,Bus,S2_875_9_40_875,"(0, 0, 153)","(255, 255, 255)",51420.485783464799169
693,S2_875_9_41,875,875,El Cajon Eastside Shuttle Counterclockwise,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=875,000099,FFFFFF,Bus,S2_875_9_41_875,"(0, 0, 153)","(255, 255, 255)",26099.830919260468363
694,S2_875_9_42,875,875,El Cajon Eastside Shuttle Counterclockwise,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=875,000099,FFFFFF,Bus,S2_875_9_42_875,"(0, 0, 153)","(255, 255, 255)",20547.802420220963540
695,S2_888_2_29,888,888,Jacumba - El Cajon,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=888,663300,FFFFFF,Bus,S2_888_2_29_888,"(0, 0, 153)","(255, 255, 255)",444765.792004077055026
696,S2_888_3_30,888,888,Jacumba - El Cajon,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=888,663300,FFFFFF,Bus,S2_888_3_30_888,"(0, 0, 153)","(255, 255, 255)",466961.750889746297617
697,S2_88_2_10,88,88,Old Town - Fashion Valley,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=88,000099,FFFFFF,Bus,S2_88_2_10_88,"(0, 0, 153)","(255, 255, 255)",15121.218039820403646
698,S2_88_3_11,88,88,Old Town - Fashion Valley,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=88,000099,FFFFFF,Bus,S2_88_3_11_88,"(0, 0, 153)","(255, 255, 255)",14042.516522336482012
699,S2_891_2_11,891,891,Borrego - El Cajon via Shelter Valley,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=891,663300,FFFFFF,Bus,S2_891_2_11_891,"(0, 0, 153)","(255, 255, 255)",465794.297886783780996
700,S2_891_3_13,891,891,Borrego - El Cajon via Shelter Valley,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=891,663300,FFFFFF,Bus,S2_891_3_13_891,"(0, 0, 153)","(255, 255, 255)",465094.110026729351375
701,S2_892_2_12,892,892,Borrego - El Cajon via Ranchita/Lake Henshaw,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=892,663300,FFFFFF,Bus,S2_892_2_12_892,"(0, 0, 153)","(255, 255, 255)",446634.285784355713986
702,S2_892_3_13,892,892,Borrego - El Cajon via Ranchita/Lake Henshaw,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=892,663300,FFFFFF,Bus,S2_892_3_13_892,"(0, 0, 153)","(255, 255, 255)",445296.036474793392699
703,S2_894_2_37,894,894,Morena/Campo - El Cajon,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=894,663300,FFFFFF,Bus,S2_894_2_37_894,"(0, 0, 153)","(255, 255, 255)",148048.468504192627734
704,S2_894_2_39,894,894,Morena/Campo - El Cajon,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=894,663300,FFFFFF,Bus,S2_894_2_39_894,"(0, 0, 153)","(255, 255, 255)",178475.937329434818821
705,S2_894_2_42,894,894,Morena/Campo - El Cajon,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=894,663300,FFFFFF,Bus,S2_894_2_42_894,"(0, 0, 153)","(255, 255, 255)",264411.090025805810001
706,S2_894_2_43,894,894,Morena/Campo - El Cajon,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=894,663300,FFFFFF,Bus,S2_894_2_43_894,"(0, 0, 153)","(255, 255, 255)",298676.904665631765965
707,S2_894_3_35,894,894,Morena/Campo - El Cajon,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=894,663300,FFFFFF,Bus,S2_894_3_35_894,"(0, 0, 153)","(255, 255, 255)",173908.994372564804507
708,S2_894_3_40,894,894,Morena/Campo - El Cajon,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=894,663300,FFFFFF,Bus,S2_894_3_40_894,"(0, 0, 153)","(255, 255, 255)",303014.410611051600426
709,S2_894_3_41,894,894,Morena/Campo - El Cajon,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=894,663300,FFFFFF,Bus,S2_894_3_41_894,"(0, 0, 153)","(255, 255, 255)",265178.361695820465684
710,S2_8_0_65,8,8,Old Town - Balboa Av TC,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=8,000099,FFFFFF,Bus,S2_8_0_65_8,"(0, 0, 153)","(255, 255, 255)",14437.014073663902309
711,S2_8_0_67,8,8,Old Town - Balboa Av TC,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=8,000099,FFFFFF,Bus,S2_8_0_67_8,"(0, 0, 153)","(255, 255, 255)",44704.217423087306088
712,S2_8_1_66,8,8,Old Town - Balboa Av TC,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=8,000099,FFFFFF,Bus,S2_8_1_66_8,"(0, 0, 153)","(255, 255, 255)",43259.174834995479614
713,S2_8_1_68,8,8,Old Town - Balboa Av TC,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=8,000099,FFFFFF,Bus,S2_8_1_68_8,"(0, 0, 153)","(255, 255, 255)",28119.289281912482693
714,S2_901_0_117,901,901,Iris Transit Center - Downtown,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=901,000099,FFFFFF,Bus,S2_901_0_117_901,"(0, 0, 153)","(255, 255, 255)",94251.651682341034757
715,S2_901_0_119,901,901,Iris Transit Center - Downtown,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=901,000099,FFFFFF,Bus,S2_901_0_119_901,"(0, 0, 153)","(255, 255, 255)",102097.607752439173055
716,S2_901_1_116,901,901,Iris Transit Center - Downtown,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=901,000099,FFFFFF,Bus,S2_901_1_116_901,"(0, 0, 153)","(255, 255, 255)",102594.688078598977881
717,S2_901_1_118,901,901,Iris Transit Center - Downtown,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=901,000099,FFFFFF,Bus,S2_901_1_118_901,"(0, 0, 153)","(255, 255, 255)",92082.252288129515364
718,S2_904_0_27,904,904,Coronado Shuttle,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=904,000099,FFFFFF,Bus,S2_904_0_27_904,"(0, 0, 153)","(255, 255, 255)",12146.659241436707816
719,S2_904_1_30,904,904,Coronado Shuttle,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=904,000099,FFFFFF,Bus,S2_904_1_30_904,"(0, 0, 153)","(255, 255, 255)",14138.373641249776483
720,S2_905_2_88,905,905,Iris Transit Center - Otay Mesa Transit Center,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=905,000099,FFFFFF,Bus,S2_905_2_88_905,"(0, 0, 153)","(255, 255, 255)",47793.777794213019661
721,S2_905_3_102,905,905,Iris Transit Center - Otay Mesa Transit Center,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=905,000099,FFFFFF,Bus,S2_905_3_102_905,"(0, 0, 153)","(255, 255, 255)",47961.587158683083544
722,S2_906_8_41,906,906,Iris Transit Center - San Ysidro Clockwise,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=906,000099,FFFFFF,Bus,S2_906_8_41_906,"(0, 0, 153)","(255, 255, 255)",19971.472492791082914
723,S2_906_8_42,906,906,Iris Transit Center - San Ysidro Clockwise,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=906,000099,FFFFFF,Bus,S2_906_8_42_906,"(0, 0, 153)","(255, 255, 255)",36298.054490741102200
724,S2_906_8_43,906,906,Iris Transit Center - San Ysidro Clockwise,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=906,000099,FFFFFF,Bus,S2_906_8_43_906,"(0, 0, 153)","(255, 255, 255)",16326.581997949986544
725,S2_907_9_51,907,907,Iris Transit Center - San Ysidro Counterclockwise,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=907,000099,FFFFFF,Bus,S2_907_9_51_907,"(0, 0, 153)","(255, 255, 255)",16178.093457597618908
726,S2_907_9_52,907,907,Iris Transit Center - San Ysidro Counterclockwise,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=907,000099,FFFFFF,Bus,S2_907_9_52_907,"(0, 0, 153)","(255, 255, 255)",35942.973395208187867
727,S2_907_9_53,907,907,Iris Transit Center - San Ysidro Counterclockwise,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=907,000099,FFFFFF,Bus,S2_907_9_53_907,"(0, 0, 153)","(255, 255, 255)",19764.879937610559864
728,S2_909_2_13,909,909,Otay Mesa Transit Center - SWC at Otay Mesa,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=909,000099,FFFFFF,Bus,S2_909_2_13_909,"(0, 0, 153)","(255, 255, 255)",26823.646498620451894
729,S2_909_3_12,909,909,Otay Mesa Transit Center - SWC at Otay Mesa,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=909,000099,FFFFFF,Bus,S2_909_3_12_909,"(0, 0, 153)","(255, 255, 255)",37716.707914973172592
730,S2_910_0_3,910,910,Downtown - San Ysidro (OWL Service),3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=910,000099,FFFFFF,Bus,S2_910_0_3_910,"(0, 0, 153)","(255, 255, 255)",108533.581650258754962
731,S2_910_1_4,910,910,Downtown - San Ysidro (OWL Service),3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=910,000099,FFFFFF,Bus,S2_910_1_4_910,"(0, 0, 153)","(255, 255, 255)",114462.851193280177540
732,S2_916_8_34,916,916,Oak Park-Emerald Hills Loop CW,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=916,000099,FFFFFF,Bus,S2_916_8_34_916,"(0, 0, 153)","(255, 255, 255)",61144.519642335450044
733,S2_916_8_35,916,916,Oak Park-Emerald Hills Loop CW,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=916,000099,FFFFFF,Bus,S2_916_8_35_916,"(0, 0, 153)","(255, 255, 255)",22198.967077444169263
734,S2_916_8_36,916,916,Oak Park-Emerald Hills Loop CW,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=916,000099,FFFFFF,Bus,S2_916_8_36_916,"(0, 0, 153)","(255, 255, 255)",29384.584795514314465
735,S2_917_9_21,917,917,Oak Park-Emerald Hills Loop CCW,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=917,000099,FFFFFF,Bus,S2_917_9_21_917,"(0, 0, 153)","(255, 255, 255)",27994.285602488685981
736,S2_917_9_22,917,917,Oak Park-Emerald Hills Loop CCW,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=917,000099,FFFFFF,Bus,S2_917_9_22_917,"(0, 0, 153)","(255, 255, 255)",60686.470259094938228
737,S2_921_2_65,921,921,UTC - Miramar College Transit Station,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=921,000099,FFFFFF,Bus,S2_921_2_65_921,"(0, 0, 153)","(255, 255, 255)",47555.797329595312476
738,S2_921_2_79,921,921,UTC - Miramar College Transit Station,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=921,000099,FFFFFF,Bus,S2_921_2_79_921,"(0, 0, 153)","(255, 255, 255)",60138.452930102088430
739,S2_921_3_76,921,921,UTC - Miramar College Transit Station,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=921,000099,FFFFFF,Bus,S2_921_3_76_921,"(0, 0, 153)","(255, 255, 255)",47612.838563668425195
740,S2_921_3_78,921,921,UTC - Miramar College Transit Station,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=921,000099,FFFFFF,Bus,S2_921_3_78_921,"(0, 0, 153)","(255, 255, 255)",58560.066145254815638
741,S2_923_2_72,923,923,Downtown to Point Loma,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=923,000099,FFFFFF,Bus,S2_923_2_72_923,"(0, 0, 153)","(255, 255, 255)",46890.766479799938679
742,S2_923_3_74,923,923,Downtown to Point Loma,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=923,000099,FFFFFF,Bus,S2_923_3_74_923,"(0, 0, 153)","(255, 255, 255)",48151.005176266888157
