Year,Zip Code,Population,Veteran Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Other Race,Two or More Races,Not Hispanic or Latino Origin,Hispanic or Latino Origin,Renter Population,Population in Poverty,Population with Disability,Senior Population (60y+),Households Receiving SNAP,Median Income,Youth Population,Population_Below_50_FPL,Population_Below_100_FPL,Population_Below_150_FPL,Population_Below_200_FPL,LIHEAP Request,Male Population,Female Population,Gini Coefficient,Percentage High School or Less,Percentage Some College or Less,Median Home Value,Median Gross Rent,Percentage of Renter Occupied,Rental Vacancy Rate,Total Housing Units,Percentage Overcrowded,Percentage One Person HH,Percetange Pre 1940,Median Electric Cost,Median Gas Cost,Median Water/Sewage Cost,Civilian Labor Force,Employed,Unemployed,Labor Force Participation Rate,Unemployment Rate
2023,91962,2457,147,2088,18,,,,31,320,2110,347,232,326,460,,82,140270,355,70,194,326,487,,1271,1186,0.3467,0.209170531,0.298815044,496800,2222,0.073863636,0.130864198,1215,0.025568182,0.191287879,0.047736626,1056,1056,1056,1348,1046,302,0.662702188,0.224035608
2023,91963,617,10,148,,,,,384,85,63,554,117,304,85,,23,25208,224,152,304,304,322,,337,280,0.5853,0.363636364,0.504398827,,,0.392857143,0.226519337,181,0.535714286,0.171428571,,140,140,140,165,165,,0.419847328,
2023,91977,62957,4255,25676,7761,829,4534,286,12120,11751,33756,29201,22959,10685,7811,11841,3118,92407,15411,2406,6493,10685,16111,4285,31822,31135,0.4084,0.315921339,0.447314929,623500,1897,0.371112255,0.030260661,20026,0.094593203,0.176004119,0.022920204,19420,19420,19420,31207,28131,3076,0.658127819,0.098567629
2023,91978,10511,590,4734,1208,7,642,98,1788,2034,6652,3859,3767,1819,798,,569,111506,2481,458,1404,1819,2112,,5199,5312,0.4086,0.288616755,0.405232396,597300,2226,0.342411261,0.021556886,3340,0.099449204,0.118115055,0.00508982,3268,3268,3268,5725,5329,396,0.707007893,0.069170306
2023,91980,157,,,,,,,157,,,157,,,,,,,26,,,,,,81,76,,0.728395062,0.728395062,,,,,22,,,,22,22,22,82,82,,0.522292994,
2023,92003,4978,286,3461,13,,110,,426,968,3668,1310,1553,852,362,,113,110577,1247,343,826,852,1016,,2500,2478,0.4811,0.233531157,0.297626113,910600,2099,0.325704225,0.052280311,1798,0.078638498,0.183685446,0.008898776,1704,1704,1704,2141,2050,91,0.578616352,0.042503503
2023,92004,3030,484,1988,1,,1,,299,741,2016,1014,676,232,371,,17,71582,162,1,74,232,637,,1546,1484,0.3604,0.413729128,0.431168831,380900,,0.269254093,0.434693178,2917,,0.432989691,0.006856359,1649,1649,1649,1542,1440,102,0.524489796,0.06614786
2023,92007,11764,345,8929,46,,433,,274,2082,9289,2475,4878,1776,776,,25,165063,2990,119,1597,1776,2272,,6327,5437,0.4508,0.136056881,0.174017836,1808200,2955,0.390938069,0.062940047,4687,0.027550091,0.188296903,0.005333902,4392,4392,4392,6376,6156,220,0.713740041,0.034504391
2023,92008,27707,1318,19837,292,529,2084,161,1327,3477,22541,5166,12475,3998,2695,7425,497,105371,4850,1067,2218,3998,5465,1363.43,14196,13511,0.4889,0.155691828,0.229181876,1142300,2343,0.497799221,0.098305602,13102,0.033350262,0.31107161,0.017096626,11814,11814,11814,15495,14287,1208,0.676207513,0.077960632
2023,92009,45778,2038,33578,590,31,4023,,1848,5708,38448,7330,12650,3937,3202,10391,614,162128,11948,1843,2803,3937,5381,1054,21794,23984,0.4466,0.110710216,0.17385112,1219600,2955,0.273254022,0.050453614,17085,0.020033286,0.168834371,0.001638865,16223,16223,16223,22400,21097,1303,0.636376472,0.058169643
2023,92010,17300,988,11659,110,38,2408,,884,2201,14544,2756,6088,2054,1960,,200,120612,4135,542,1418,2054,3098,624,8551,8749,0.4362,0.149831234,0.233061661,1016400,2764,0.372038263,0.044841158,7114,0.024576895,0.24812362,0.002811358,6795,6795,6795,8397,7842,555,0.639991198,0.066095034
2023,92011,23715,1383,16265,202,44,2744,,824,3636,19785,3930,8710,1978,1947,,286,154985,5409,936,1466,1978,3192,2081.94,12003,11712,0.4291,0.071764983,0.137937125,1188400,3138,0.359055634,0.099419234,10159,0.003388348,0.222210078,0.001673393,9149,9149,9149,11794,11223,571,0.632688835,0.048414448
2023,92014,13260,747,10295,186,,839,,700,1240,11980,1280,3851,673,1108,,100,194528,1972,149,527,673,1010,,6848,6412,0.4276,0.055315552,0.07362885,2000001,3172,0.298974448,0.14719834,6746,0.030766557,0.244394229,0.04180255,5753,5753,5753,6794,6512,282,0.586292462,0.041507212
2023,92019,45801,2496,32680,903,268,1476,313,3140,7021,36033,9768,15325,7855,5976,12175,2229,99266,10171,1945,4825,7855,10589,3196,22851,22950,0.438,0.299517065,0.426538748,727400,2141,0.326794769,0.053190145,15830,0.052308513,0.178142514,0.011054959,14988,14988,14988,22662,20500,2162,0.618241604,0.095401995
2023,92020,58490,2601,37253,3789,301,2599,530,6141,7877,41979,16511,32619,16674,8483,12227,3963,72822,14456,3703,9543,16674,21573,7827,28786,29704,0.4659,0.374423875,0.491482264,741600,1793,0.568718921,0.039584462,20311,0.124365612,0.2202799,0.020383044,19507,19507,19507,27945,25548,2397,0.624125719,0.085775631
2023,92021,69306,4448,42095,4449,1102,3696,254,8291,9419,49756,19550,31900,18561,10100,15263,5127,69979,17479,6357,12426,18561,26131,9221,33349,35957,0.471,0.384969923,0.52607435,572000,1818,0.472511407,0.033690068,23360,0.096442653,0.195100341,0.015282534,22573,22573,22573,33078,30442,2636,0.62287452,0.079690429
2023,92024,50030,1856,39901,343,139,2339,84,1829,5395,42823,7207,14207,4713,4283,14272,463,149080,9703,1586,2879,4713,6463,1060,24783,25247,0.4732,0.108843537,0.167357568,1409700,2643,0.323404255,0.084670314,21566,0.017223911,0.238753799,0.024900306,19740,19740,19740,27468,26083,1385,0.662873502,0.05042231
2023,92025,50046,2335,22150,1245,959,2788,132,9385,13387,23330,26716,27769,14724,5867,9661,2410,71716,11970,3766,8303,14724,19357,4809.25,25629,24417,0.5021,0.425766326,0.515385754,767400,1823,0.578979051,0.043968692,17376,0.115157717,0.281182278,0.044256446,16612,16612,16612,24887,23812,1075,0.630683108,0.043195242
2023,92026,53041,3956,29452,1065,503,4332,494,7796,9399,31849,21192,19435,8391,7193,12708,1260,97301,10759,3647,5939,8391,11384,3870.15,26752,26289,0.4485,0.313829648,0.430904095,664300,2066,0.370803529,0.038648798,19923,0.045475905,0.232235159,0.007127441,19153,19153,19153,27053,25712,1341,0.629463361,0.049569364
2023,92027,55232,2954,25631,1141,1040,3618,97,10415,13290,23983,31249,20735,11764,6629,10482,1839,86106,13034,3837,6505,11764,16002,6693.87,28102,27130,0.4315,0.427400468,0.569386199,665900,1884,0.392475643,0.041085097,17768,0.100833431,0.211703252,0.010299415,17038,17038,17038,28119,26651,1468,0.649361996,0.052206693
2023,92028,50905,3896,29236,984,541,2150,83,7389,10522,29437,21468,16057,10266,5026,13615,1064,102346,12563,2296,5734,10266,13954,411,25752,25153,0.4078,0.308137014,0.405058534,781200,1743,0.286707056,0.063886572,17985,0.076799715,0.161558565,0.011620795,16836,16836,16836,22690,21324,1366,0.601793745,0.060202732
2023,92029,20296,1392,13849,430,110,1874,28,1493,2512,15522,4774,4957,2078,2136,,495,120038,4004,656,998,2078,3013,,9750,10546,0.4231,0.216942284,0.322962285,911600,2232,0.266744548,0.034102307,7976,0.02790758,0.236760125,0.019057172,7704,7704,7704,10419,10086,333,0.628988965,0.031960841
2023,92036,3128,247,2573,44,6,,15,78,412,2556,572,510,405,368,,76,71875,369,114,316,405,790,643,1660,1468,0.4657,0.280695127,0.350207782,544700,1938,0.133152174,0.361388286,2305,0.010190217,0.363451087,0.009110629,1472,1472,1472,1394,1314,80,0.504159132,0.057388809
2023,92037,39284,1777,28477,478,61,4680,76,939,4573,34125,5159,12686,4860,3275,12730,452,141822,6240,1885,3198,4860,5628,499,19904,19380,0.5157,0.07503699,0.105051786,1857800,2632,0.3803499,0.158396169,19628,0.017071251,0.306737696,0.058233136,16519,16519,16519,19583,18374,1209,0.581649582,0.061737221
2023,92040,45978,3280,35349,931,465,780,184,3259,5010,35881,10097,14618,8031,6776,11135,1613,103585,10644,2097,4040,8031,10909,624,22117,23861,0.4105,0.311645726,0.44186877,648800,1908,0.337025521,0.043909085,16147,0.03951289,0.186941314,0.019198613,15438,15438,15438,22389,20939,1450,0.621272067,0.064763947
2023,92054,37546,2040,20316,1255,1262,1604,205,4270,8634,22208,15338,22161,8712,4473,7932,1748,76974,6094,1956,4997,8712,11236,645.74,19684,17862,0.468,0.302481084,0.403906387,851100,1847,0.607209241,0.168332137,18113,0.072092406,0.293016463,0.035057693,15064,15064,15064,21593,20197,1396,0.687071651,0.064650581
2023,92055,11181,225,6317,1063,253,595,69,1651,1233,7567,3614,,,,,,,,,,,,,10536,645,,0.436901654,0.53002611,,,,,,,,,,,,242,242,,0.99338163,
2023,92056,53265,3936,30826,1669,653,4532,487,4214,10884,36729,16536,17050,5447,6517,14210,1464,102570,11540,1301,2485,5447,8519,1190.19,26587,26678,0.397,0.250802505,0.351312951,696400,2536,0.328259533,0.048844691,20514,0.035311603,0.230832308,0.002876085,19512,19512,19512,26268,24794,1474,0.643187013,0.056113903
2023,92057,57994,4599,29298,3125,452,5091,118,5703,14207,34936,23058,18082,7049,6788,12286,1329,106421,13261,2501,4224,7049,11530,2786,28417,29577,0.407,0.318946673,0.415688069,691900,2457,0.312973031,0.045676501,19660,0.057989553,0.190011726,0.009257375,18762,18762,18762,30051,28657,1394,0.666895619,0.046387807
2023,92058,49189,3068,24308,3424,730,2682,184,5725,12136,28090,21099,31937,8348,3602,,862,72479,13081,2071,3641,8348,14495,3334,27200,21989,0.3775,0.334157294,0.479668768,609000,2583,0.716897856,0.075697727,15443,0.054644809,0.155177245,0.012044292,14274,14274,14274,15709,14558,1151,0.750715629,0.0732701
2023,92059,1449,82,401,7,462,41,,53,485,720,729,533,312,32,,4,96399,476,115,207,312,357,,592,857,0.403,0.456057007,0.539192399,506600,1552,0.35915493,0.103157895,475,0.072769953,0.124413146,0.025263158,426,426,426,482,465,17,0.484909457,0.03526971
2023,92060,591,166,481,,3,,,39,68,552,39,,104,26,,,150758,28,,65,104,104,,229,362,0.2897,0.390763766,0.460035524,625000,,,0.160427807,187,,0.203821656,0.016042781,157,157,157,198,198,,0.351687389,
2023,92061,1693,217,1189,2,286,40,,9,167,1408,285,357,238,131,,9,92500,228,34,157,238,301,,871,822,0.3693,0.216479401,0.31011236,785100,,0.137466307,0.27254902,1020,0.071428571,0.150943396,0.058823529,742,742,742,626,599,27,0.414021164,0.04313099
2023,92064,48555,3600,30345,1356,329,6515,218,3304,6488,40403,8152,11705,4347,4610,12949,894,144201,11130,1528,2503,4347,7094,2160.22,25040,23515,0.4296,0.175720895,0.252829749,971600,2261,0.243042446,0.033319597,16987,0.039644358,0.156628707,0.008359334,16421,16421,16421,24138,22869,1269,0.632110497,0.052572707
2023,92065,37397,2854,26834,370,360,659,75,2359,6740,25957,11440,9615,5384,4256,9003,893,120550,8506,820,2069,5384,7932,,19334,18063,0.4118,0.354653183,0.438298529,731500,1889,0.235389217,0.031548458,12774,0.06127233,0.189960391,0.031548458,12371,12371,12371,18723,18018,705,0.640123229,0.037654222
2023,92066,314,27,305,9,,,,,,314,,94,111,29,,48,43542,44,23,65,111,124,,140,174,0.4717,0.376425856,0.486692015,364000,,0.312101911,0.169312169,189,,0.439490446,,157,157,157,125,108,17,0.438596491,0.136
2023,92067,8245,344,5255,81,,815,,86,2008,6980,1265,602,540,603,,,238397,2008,69,257,540,565,,3797,4448,0.5032,0.089188267,0.097544338,2000001,3501,0.055873443,0.226906063,3843,,0.162908112,0.047619048,2971,2971,2971,3089,2956,133,0.48454902,0.043056005
2023,92069,46825,2398,22654,749,637,5213,14,8015,9543,25284,21541,20152,9662,5549,8351,1358,93065,11434,2647,5493,9662,13239,,23164,23661,0.4284,0.365447856,0.453684108,714700,2078,0.442095466,0.041116848,15687,0.096396756,0.183286797,0.007330911,15042,15042,15042,24636,23474,1162,0.67566906,0.047166748
2023,92070,749,149,439,2,154,5,,9,140,599,150,364,123,57,,13,83750,123,42,96,123,263,4800,483,266,0.3788,0.328836425,0.376053963,482900,1586,0.527027027,0.195652174,368,0.114864865,0.199324324,0.057065217,296,296,296,394,382,12,0.608024691,0.030456853
2023,92071,59739,4873,41888,1426,405,3333,115,2843,9729,46739,13000,16583,8278,7587,13956,1797,105603,14101,2759,4964,8278,11463,2286,29618,30121,0.4067,0.257192325,0.367004245,654800,2202,0.280424035,0.032026505,21732,0.040216771,0.211019205,0.00262286,21036,21036,21036,29510,28002,1508,0.641816678,0.051101322
