Year,Zip Code,Population,Veteran Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Other Race,Two or More Races,Not Hispanic or Latino Origin,Hispanic or Latino Origin,Renter Population,Population in Poverty,Population with Disability,Senior Population (60y+),Households Receiving SNAP,Median Income,Youth Population,Population_Below_50_FPL,Population_Below_100_FPL,Population_Below_150_FPL,Population_Below_200_FPL,LIHEAP Request,Male Population,Female Population,Gini Coefficient,Percentage High School or Less,Percentage Some College or Less,Median Home Value,Median Gross Rent,Percentage of Renter Occupied,Rental Vacancy Rate,Total Housing Units,Percentage Overcrowded,Percentage One Person HH,Percetange Pre 1940,Median Electric Cost,Median Gas Cost,Median Water/Sewage Cost,Civilian Labor Force,Employed,Unemployed,Labor Force Participation Rate,Unemployment Rate
2023,92109,44456,2126,34881,867,77,1694,137,2024,4776,39018,5438,29588,5498,2882,,832,118300,4298,2267,3822,5498,7784,,23754,20702,0.4437,0.094595339,0.138642499,1136000,2362,0.686470429,0.16167981,26503,0.028175353,0.397110451,0.045579746,22218,22218,22218,31904,30523,1381,0.804558181,0.043286108
2023,92110,31186,2168,20299,1530,350,2337,177,1621,4872,25481,5705,17328,5448,3138,,981,102508,5012,2908,4333,5448,6970,4401.6,15679,15507,0.4423,0.166769114,0.25849922,885200,2298,0.638846247,0.064262493,13227,0.050900865,0.36931405,0.019883571,12377,12377,12377,16521,15891,630,0.649413622,0.038133285
2023,92111,45888,2491,24431,2062,169,9224,115,3004,6883,33369,12519,20419,7165,5154,10361,1613,95081,7820,2220,4474,7165,10502,2802.13,22430,23458,0.4201,0.280858296,0.339979969,754300,2049,0.468751834,0.033079891,17624,0.073645913,0.278328737,0.012880163,17041,17041,17041,24870,23353,1517,0.658057532,0.060997185
2023,92113,49047,1294,17332,5014,1246,1759,77,15734,7885,10894,38153,32005,16624,6152,7041,3122,59177,13461,4137,10466,16624,23203,4398,24424,24623,0.4349,0.592085534,0.695775474,559100,1608,0.712559853,0.060098318,14443,0.216721915,0.202651934,0.151492072,13575,13575,13575,23863,21695,2168,0.652647724,0.090851947
2023,92114,64820,4582,14040,11289,255,15593,1106,11314,11223,36469,28351,19689,12256,8297,14776,3003,90171,13816,3863,7591,12256,18359,6026,32735,32085,0.4072,0.436445218,0.537481025,604300,1741,0.298023064,0.029679757,18767,0.088797364,0.149752883,0.037832365,18210,18210,18210,30649,28660,1989,0.602714103,0.064896081
2023,92115,64011,2268,31792,6403,509,8346,520,6694,9747,44566,19445,36295,17196,5507,8952,2917,75178,10962,6828,12018,17196,22585,4860.09,32245,31766,0.4618,0.26435236,0.354034029,722500,1875,0.598536451,0.073353804,23448,0.078608247,0.266154271,0.064696349,21728,21728,21728,34091,31566,2525,0.653523521,0.074066469
2023,92116,31484,1594,19742,1440,311,2086,35,2375,5495,22162,9322,20489,4204,2681,,1146,95775,3433,1572,2893,4204,5961,1602,15773,15711,0.4294,0.119828333,0.187290592,898500,1903,0.678586504,0.069781792,17827,0.021045649,0.405837303,0.240702305,16583,16583,16583,22050,21021,1029,0.79087345,0.046666667
2023,92117,52645,3373,34013,1080,158,4746,267,3368,9013,39370,13275,22207,8301,5778,12128,1647,105286,9408,2677,5467,8301,11749,1585.27,26136,26509,0.429,0.193509677,0.270566308,914400,2115,0.427718673,0.042983507,21706,0.041881288,0.247436576,0.004514881,20773,20773,20773,29377,28094,1283,0.668965056,0.043673622
2023,92118,18495,1851,14632,405,113,706,172,357,2110,14971,3524,8015,1351,1757,,149,135056,3498,581,786,1351,1913,,9754,8741,0.497,0.104467354,0.149522719,1998900,3250,0.454285305,0.265938452,9521,0.013163543,0.239662327,0.148408781,6989,6989,6989,6718,6446,272,0.613030538,0.040488241
2023,92119,24868,1750,16713,921,128,2134,59,1371,3542,20522,4346,6215,2450,2949,,443,115600,5304,548,1458,2450,3643,2710,11537,13331,0.4057,0.162194026,0.227318662,833100,2314,0.279797126,0.028137194,9738,0.031276416,0.284234996,0.005442596,9464,9464,9464,12658,11853,805,0.646926649,0.063596145
2023,92120,31797,2632,21365,2013,35,2506,73,1946,3859,25540,6257,11336,4827,3225,,548,114579,6981,1774,2994,4827,6517,2162,15871,15926,0.4493,0.139289499,0.223425333,870200,2416,0.356639961,0.067607334,13253,0.030589949,0.256939387,0.007696371,12357,12357,12357,16704,15683,1021,0.670058708,0.061123084
